VTX, IDX, _sig60._child0.x, _sig60._child0.y, _sig60._child0.z, _sig60._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w, _output3.x, _output3.y
115, 5592, -1.60969, -78.84473, -179.09424,  199.09424, -1.60969,  78.84473,  10.00,  199.09424, -1.71519,  78.56052,  10.00,  199.06766,  0.50977,  0.9292
116, 5591, -1.66821, -80.58586, -178.93723,  198.93723, -1.66821,  80.58586,  10.00,  198.93723, -1.77376,  80.30164,  10.00,  198.91045,  0.50977,  0.95361
117, 5592, -1.60969, -78.84473, -179.09424,  199.09424, -1.60969,  78.84473,  10.00,  199.09424, -1.71519,  78.56052,  10.00,  199.06766,  0.50977,  0.9292
118, 5593, -1.04424, -80.6541, -179.0394,  199.0394, -1.04424,  80.6541,  10.00,  199.0394, -1.14969,  80.3698,  10.00,  199.01245,  0.52344,  0.95361
119, 5591, -1.66821, -80.58586, -178.93723,  198.93723, -1.66821,  80.58586,  10.00,  198.93723, -1.77376,  80.30164,  10.00,  198.91045,  0.50977,  0.95361
120, 5592, -1.60969, -78.84473, -179.09424,  199.09424, -1.60969,  78.84473,  10.00,  199.09424, -1.71519,  78.56052,  10.00,  199.06766,  0.50977,  0.9292
121, 5594, -1.10407, -78.91537, -179.18806,  199.18806, -1.10407,  78.91537,  10.00,  199.18806, -1.20947,  78.63116,  10.00,  199.16135,  0.52344,  0.9292
122, 5593, -1.04424, -80.6541, -179.0394,  199.0394, -1.04424,  80.6541,  10.00,  199.0394, -1.14969,  80.3698,  10.00,  199.01245,  0.52344,  0.95361
123, 5594, -1.10407, -78.91537, -179.18806,  199.18806, -1.10407,  78.91537,  10.00,  199.18806, -1.20947,  78.63116,  10.00,  199.16135,  0.52344,  0.9292
124, 5595, -0.5877, -80.76023, -179.15535,  199.15535, -0.5877,  80.76023,  10.00,  199.15535, -0.69303,  80.47589,  10.00,  199.12825,  0.53613,  0.95361
125, 5593, -1.04424, -80.6541, -179.0394,  199.0394, -1.04424,  80.6541,  10.00,  199.0394, -1.14969,  80.3698,  10.00,  199.01245,  0.52344,  0.95361
126, 5594, -1.10407, -78.91537, -179.18806,  199.18806, -1.10407,  78.91537,  10.00,  199.18806, -1.20947,  78.63116,  10.00,  199.16135,  0.52344,  0.9292
127, 5596, -0.64789, -79.02003, -179.30316,  199.30316, -0.64789,  79.02003,  10.00,  199.30316, -0.75319,  78.7358,  10.00,  199.27628,  0.53613,  0.9292
128, 5595, -0.5877, -80.76023, -179.15535,  199.15535, -0.5877,  80.76023,  10.00,  199.15535, -0.69303,  80.47589,  10.00,  199.12825,  0.53613,  0.95361
129, 5596, -0.64789, -79.02003, -179.30316,  199.30316, -0.64789,  79.02003,  10.00,  199.30316, -0.75319,  78.7358,  10.00,  199.27628,  0.53613,  0.9292
130, 5597, -0.18728, -81.00559, -179.3689,  199.3689, -0.18728,  81.00559,  10.00,  199.3689, -0.29241,  80.72126,  10.00,  199.34166,  0.5498,  0.95361
131, 5595, -0.5877, -80.76023, -179.15535,  199.15535, -0.5877,  80.76023,  10.00,  199.15535, -0.69303,  80.47589,  10.00,  199.12825,  0.53613,  0.95361
132, 5596, -0.64789, -79.02003, -179.30316,  199.30316, -0.64789,  79.02003,  10.00,  199.30316, -0.75319,  78.7358,  10.00,  199.27628,  0.53613,  0.9292
133, 5598, -0.24906, -79.262, -179.51404,  199.51404, -0.24906,  79.262,  10.00,  199.51404, -0.35415,  78.97778,  10.00,  199.48703,  0.5498,  0.9292
134, 5597, -0.18728, -81.00559, -179.3689,  199.3689, -0.18728,  81.00559,  10.00,  199.3689, -0.29241,  80.72126,  10.00,  199.34166,  0.5498,  0.95361
135, 5598, -0.24906, -79.262, -179.51404,  199.51404, -0.24906,  79.262,  10.00,  199.51404, -0.35415,  78.97778,  10.00,  199.48703,  0.5498,  0.9292
136, 5599,  0.06427, -81.39058, -179.67249,  199.67249,  0.06427,  81.39058,  10.00,  199.67249, -0.04056,  81.10637,  10.00,  199.64513,  0.56689,  0.95361
137, 5597, -0.18728, -81.00559, -179.3689,  199.3689, -0.18728,  81.00559,  10.00,  199.3689, -0.29241,  80.72126,  10.00,  199.34166,  0.5498,  0.95361
138, 5598, -0.24906, -79.262, -179.51404,  199.51404, -0.24906,  79.262,  10.00,  199.51404, -0.35415,  78.97778,  10.00,  199.48703,  0.5498,  0.9292
139, 5600,  0.00523, -79.64298, -179.81769,  199.81769,  0.00523,  79.64298,  10.00,  199.81769, -0.09956,  79.35882,  10.00,  199.79057,  0.56689,  0.9292
140, 5599,  0.06427, -81.39058, -179.67249,  199.67249,  0.06427,  81.39058,  10.00,  199.67249, -0.04056,  81.10637,  10.00,  199.64513,  0.56689,  0.95361
141, 5600,  0.00523, -79.64298, -179.81769,  199.81769,  0.00523,  79.64298,  10.00,  199.81769, -0.09956,  79.35882,  10.00,  199.79057,  0.56689,  0.9292
142, 5601,  0.12914, -81.79264, -179.96935,  199.96935,  0.12914,  81.79264,  10.00,  199.96935,  0.0246,  81.50852,  10.00,  199.94193,  0.59375,  0.95361
143, 5599,  0.06427, -81.39058, -179.67249,  199.67249,  0.06427,  81.39058,  10.00,  199.67249, -0.04056,  81.10637,  10.00,  199.64513,  0.56689,  0.95361
144, 5600,  0.00523, -79.64298, -179.81769,  199.81769,  0.00523,  79.64298,  10.00,  199.81769, -0.09956,  79.35882,  10.00,  199.79057,  0.56689,  0.9292
145, 5602,  0.1202, -80.05395, -180.11658,  200.11658,  0.1202,  80.05395,  10.00,  200.11658,  0.01571,  79.76987,  10.00,  200.08936,  0.59375,  0.9292
146, 5601,  0.12914, -81.79264, -179.96935,  199.96935,  0.12914,  81.79264,  10.00,  199.96935,  0.0246,  81.50852,  10.00,  199.94193,  0.59375,  0.95361
147, 5601,  0.12914, -81.79264, -179.96935,  199.96935,  0.12914,  81.79264,  10.00,  199.96935,  0.0246,  81.50852,  10.00,  199.94193,  0.59375,  0.95361
148, 5602,  0.1202, -80.05395, -180.11658,  200.11658,  0.1202,  80.05395,  10.00,  200.11658,  0.01571,  79.76987,  10.00,  200.08936,  0.59375,  0.9292
149, 5603,  0.14952, -80.44913, -180.38116,  200.38116,  0.14952,  80.44913,  10.00,  200.38116,  0.04529,  80.16519,  10.00,  200.35391,  0.62549,  0.9292
150, 5601,  0.12914, -81.79264, -179.96935,  199.96935,  0.12914,  81.79264,  10.00,  199.96935,  0.0246,  81.50852,  10.00,  199.94193,  0.59375,  0.95361
151, 5603,  0.14952, -80.44913, -180.38116,  200.38116,  0.14952,  80.44913,  10.00,  200.38116,  0.04529,  80.16519,  10.00,  200.35391,  0.62549,  0.9292
152, 5604,  0.10448, -82.1697, -180.22884,  200.22884,  0.10448,  82.1697,  10.00,  200.22884,  0.0002,  81.88567,  10.00,  200.20137,  0.62549,  0.95361
153, 5605, -4.86812, -96.72826, -177.85547,  197.85547, -4.86812,  96.72826,  10.00,  197.85547, -4.97378,  96.44414,  10.00,  197.82764,  0.47095,  0.87256
