VTX, IDX, _sig60._child0.x, _sig60._child0.y, _sig60._child0.z, _sig60._child0.w, _output0.x, _output0.y, _output0.z, _output0.w, _output1.x, _output1.y, _output1.z, _output1.w
88, 2422, -31.01304, -59.76043, -191.37773,  211.37773, -31.01304,  59.76043,  10.00,  211.37773, -31.13737,  59.52665,  10.00,  211.29149
89, 2421, -30.57613, -58.95392, -191.16707,  211.16707, -30.57613,  58.95392,  10.00,  211.16707, -30.70077,  58.72319,  10.00,  211.08
90, 2423, -30.75107, -63.12313, -190.41037,  210.41037, -30.75107,  63.12313,  10.00,  210.41037, -30.87137,  62.90596,  10.00,  210.33279
91, 2421, -30.57613, -58.95392, -191.16707,  211.16707, -30.57613,  58.95392,  10.00,  211.16707, -30.70077,  58.72319,  10.00,  211.08
92, 2424, -30.3665, -62.58314, -190.23882,  210.23882, -30.3665,  62.58314,  10.00,  210.23882, -30.48697,  62.36831,  10.00,  210.16069
93, 2425, -30.26709, -67.19982, -189.75795,  209.75795, -30.26709,  67.19982,  10.00,  209.75795, -30.38348,  66.98947,  10.00,  209.68921
94, 2423, -30.75107, -63.12313, -190.41037,  210.41037, -30.75107,  63.12313,  10.00,  210.41037, -30.87137,  62.90596,  10.00,  210.33279
95, 2424, -30.3665, -62.58314, -190.23882,  210.23882, -30.3665,  62.58314,  10.00,  210.23882, -30.48697,  62.36831,  10.00,  210.16069
96, 2425, -30.26709, -67.19982, -189.75795,  209.75795, -30.26709,  67.19982,  10.00,  209.75795, -30.38348,  66.98947,  10.00,  209.68921
97, 2424, -30.3665, -62.58314, -190.23882,  210.23882, -30.3665,  62.58314,  10.00,  210.23882, -30.48697,  62.36831,  10.00,  210.16069
98, 2426, -29.91319, -66.7822, -189.63728,  209.63728, -29.91319,  66.7822,  10.00,  209.63728, -30.02973,  66.57297,  10.00,  209.56819
99, 2427, -29.45995, -70.77345, -189.17696,  209.17696, -29.45995,  70.77345,  10.00,  209.17696, -29.57294,  70.56441,  10.00,  209.11534
100, 2425, -30.26709, -67.19982, -189.75795,  209.75795, -30.26709,  67.19982,  10.00,  209.75795, -30.38348,  66.98947,  10.00,  209.68921
101, 2426, -29.91319, -66.7822, -189.63728,  209.63728, -29.91319,  66.7822,  10.00,  209.63728, -30.02973,  66.57297,  10.00,  209.56819
102, 2427, -29.45995, -70.77345, -189.17696,  209.17696, -29.45995,  70.77345,  10.00,  209.17696, -29.57294,  70.56441,  10.00,  209.11534
103, 2428, -29.66849, -71.06892, -189.27032,  209.27032, -29.66849,  71.06892,  10.00,  209.27032, -29.7814,  70.85886,  10.00,  209.20894
104, 2425, -30.26709, -67.19982, -189.75795,  209.75795, -30.26709,  67.19982,  10.00,  209.75795, -30.38348,  66.98947,  10.00,  209.68921
105, 2429, -28.67477, -75.22608, -188.70201,  208.70201, -28.67477,  75.22608,  10.00,  208.70201, -28.78389,  75.01405,  10.00,  208.6485
106, 2428, -29.66849, -71.06892, -189.27032,  209.27032, -29.66849,  71.06892,  10.00,  209.27032, -29.7814,  70.85886,  10.00,  209.20894
107, 2427, -29.45995, -70.77345, -189.17696,  209.17696, -29.45995,  70.77345,  10.00,  209.17696, -29.57294,  70.56441,  10.00,  209.11534
108, 2429, -28.67477, -75.22608, -188.70201,  208.70201, -28.67477,  75.22608,  10.00,  208.70201, -28.78389,  75.01405,  10.00,  208.6485
109, 2430, -28.83927, -75.53683, -188.80574,  208.80574, -28.83927,  75.53683,  10.00,  208.80574, -28.94829,  75.32367,  10.00,  208.75244
110, 2428, -29.66849, -71.06892, -189.27032,  209.27032, -29.66849,  71.06892,  10.00,  209.27032, -29.7814,  70.85886,  10.00,  209.20894
111, 2431, -27.70168, -79.31862, -188.369,  208.369, -27.70168,  79.31862,  10.00,  208.369, -27.80769,  79.10065,  10.00,  208.32205
112, 2430, -28.83927, -75.53683, -188.80574,  208.80574, -28.83927,  75.53683,  10.00,  208.80574, -28.94829,  75.32367,  10.00,  208.75244
113, 2429, -28.67477, -75.22608, -188.70201,  208.70201, -28.67477,  75.22608,  10.00,  208.70201, -28.78389,  75.01405,  10.00,  208.6485
114, 2431, -27.70168, -79.31862, -188.369,  208.369, -27.70168,  79.31862,  10.00,  208.369, -27.80769,  79.10065,  10.00,  208.32205
115, 2432, -28.00584, -79.69239, -188.48447,  208.48447, -28.00584,  79.69239,  10.00,  208.48447, -28.11173,  79.47363,  10.00,  208.43774
